name,lat,lon
Gisela-Gymnasium,48.1566933,11.5732647
Gymnasium,47.6009166,9.8825069
Gymnasium Höchstadt a. d. Aisch,49.7111378,10.8087709
Gertrud-von-le-Fort-Gymnasium,47.4184945,10.2760497
Dominikus-Zimmermann-Gymnasium,48.0516285,10.8614997
Gymnasium Pfarrkirchen,48.4358153,12.9365782
Sigmund-Schuckert-Gymnasium,49.4123285,11.0446852
Gymnasium der Ursulinen-Schulstiftung,48.8839663,12.5734971
Julius-Echter-Gymnasium,49.8351508,9.1671529
Gymnasium München/Moosach,48.1847813,11.5189911
Hanns-Seidel-Gymnasium,50.0086636,9.2081568
Graf-Rasso-Gymnasium Fürstenfeldbruck,48.173388,11.2680841
Frobenius Gymnasium,50.1142337,9.8993973
St.-Bonaventura-Gymnasium/-Realschule,48.578834,10.4942705
Tassilo-Gymnasium,48.2739538,13.0237623
Regiomontanus-Gymnasium Haßfurt,50.0373379,10.528249
Martin-Pollich-Gymnasium Mellrichstadt,50.4302817,10.3166207
Bertha-von-Suttner-Gymnasium,48.4133393,10.0520192
Gymnasium Tegernsee,47.7075007,11.7573269
Maria-Ward-Gymnasium Altötting,48.22719,12.678505
Descartes-Gymnasium,48.7354046,11.1749437
Bilinguales Gymnasium Phorms,48.1470168,11.6013766
Gymnasium Geretsried,47.8684501,11.4720602
Theresia-Gerhardinger-Gymnasium am Anger,48.1333479,11.5721671
Friedrich-Rückert-Gymnasium,50.0936014,10.8025344
Geschwister-Scholl-Gymnasium,49.4806649,11.2521003
Landgraf-Leuchtenberg-Gymnasium Grafenau,48.8626409,13.4010706
Friedrich-Alexander-Gymnasium,49.5735282,10.6124966
Apian-Gymnasium Ingolstadt,48.7441434,11.4227978
Benedikt-Stattler-Gymnasium,49.1815568,12.8606611
Pater-Rupert-Mayer-Gymnasium,48.0606154,11.5129286
"Münchenkolleg, Gymnasium des Zweiten Bildungsweges",48.1139254,11.5931276
Frankenwald-Gymnasium,50.2358901,11.3422645
St.-Michaels-Gymnasium,48.8560207,12.9189148
Gymnasium Buchloe,48.0283068,10.7257662
Gymnasium Tutzing,47.9074104,11.2798755
Willibald-Gymnasium,48.8875245,11.1948834
Jenaplan-Gymnasium,49.4707053,11.0183362
Gymnasium Fürstenried,48.0900477,11.4814434
Städtisches Werner-von-Siemens-Gymnasium,48.1103306,11.6485223
"Laurentius- Fachober-, Realschule u. Gymnasium",49.2877635,10.7830326
Gymnasium Puchheim,48.1820085,11.3568514
Erzbischöfliches Maria-Ward-Gymnasium Nymphenburg,48.1619668,11.504421
Werner-von-Siemens Gymnasium,49.025005,10.976819
Privat-Gymnasium PINDL,49.0195865,12.0840597
Johannes-Heidenhain-Gymnasium Traunreut,47.9592562,12.5961697
Welfen-Gymnasium,47.8087827,10.8939689
Kaspar-Zeuß-Gymnasium,50.2355643,11.3270242
Gymnasium Seligenthal,48.5419334,12.1476226
Johannes-Nepomuk-Gymnasium,48.7686841,11.9664951
St. Anna Colleg Gymnasium Eggenberg,47.9740245,11.441436
Ernst-Mach-Gymnasium,48.1076996,11.7246294
Rupert-Ness-Gymnasium und Realschule,47.9468555,10.2972713
Johann-Christian-Reinhart-Gymnasium,50.3067219,11.8976455
